StoryID,TITLE,AUTHOR,YEAR,words_count
P25,Маленькая жизнь,Гроссман Василий Семенович,1936,1827
S804,У телефона,Михаил Цвик (Миронов Михаил),1929,1087
P163,Встреча,Маркова Ольга Ивановна,1951,1274
P247,Интервью сатирика,Троепольский Гавриил Николаевич ,1972,1354
S332,Розги,Мельников Сергей Николаевич,1906,1490
Р412,Их погубила Луна!,Мартьянов Игорь ,1984,1536
Р647,Жажда,Амутных Виталий Владимирович ,1990,1687
Р553,Женщина с диванчиком,Алфёрова Марианна ,1994,1784
P236,До поезда оставалось три часа,Гранин Даниил Александрович,1971,1930
S616,Визитная карточка,Мясницкий Иван Ильич,1902,2008
P232,Билетик на второй сеанс,Шукшин Василий Макарович,1971,2159
S235,В избе,Демидов Алексей Алексеевич,1929,2202
S449,Страшная ночь,Карпов Евтихий Павлович,1915,2379
A118,Бумага теряет терпение,Кржижановский Сигизмунд Доминикович,1939,2438
260,Микроскоп,Шукшин Василий Макарович,1969,2595
P287,Хороший исход,Бакланов Григорий Яковлевич ,1975,2663
S383,В дороге,Подрядов М. Г.,1909,2847
Р405,Курортная история,Горегляд Анатолий,2000,2919
A9,Музыкальный вечер,Гнедич Петр Петрович,1982,3568
P276,Тренер,Рощин Михаил Михайлович,1987,4656
S684,Пробуждение,Янович Алексей,1910,1036
P136,Беглецы,Воеводин Евгений ,1950,1101
S139,Одиннадцатая аксиома,Зильбер Вениамин Александрович (Каверин Вениамин Александрович ),1920,1266
P201,Решительный шаг в устройстве личной жизни,Киреев Руслан Тимофеевич,1977,1362
Р322,Честное слово,Пантелеев Леонид,1941,1484
241,Светская жизнь,Тэффи,1939,1547
252,На представку,Шаламов Варлам Тихонович,1956,1685
Р555,Одесский дворик,Немчинов Геннадий Андреевич ,1975,1796
Р444,Большой дом,Левин Кирилл Яковлевич,1949,1924
P264,Снежные поля,Никитин Сергей Константинович ,1966,2021
S422,На войну,Григоров Леонид Михайлович,1914,2154
144,Маленькая ошибка,Лесков Николай Семенович,1933,2203
P270,Мышь пьёт молоко,Ким Анатолий Андреевич,1985,2379
S577,На скромном посту,Задера Григорий Пантелеймонович,1904,2438
166,Встреча,Маслов Николай,1963,2589
P195,Прилёт птиц,Лидин Владимир Германович,1962,2666
Р345,Чёрное пальто,Петрушевская Людмила,1995,2841
Р628,Абсурдист,Эдлис Юлиу,1996,2948
P200,Вальс,Семёнов Георгий Витальевич,1982,3553
P281,Плач перепёлки ,Черных Борис Иванович,1987,5001
105,Простая история,Каверин Вениамин Александрович ,1945,1060
P226,Крыша течёт,Воронин Сергей Алексеевич,1989,2165
Р423,Русский еврей,Мирошник Дмитрий,1999,547
Р443,Я тебе припомню это,Голодный Цезарь Михайлович,1959,1193
Р361,Розовый клубень,Сорокин Владимир Георгиевич,1979,1200
S832,Последний экзамен,Сосинский Бронислав,1926,1408
P260,Сорренто,Катаев Валентин Петрович,1966,1625
P268,В степи,Екимов Борис Петрович,1998,1637
Р325,Банка удачи,Визбор Юрий,1963,1843
S505,Похороны,Щелканов Петр Александрович (Никита Рабочих),1920,1858
S294,Огуречная королева,Слезкин Юрий Львович,1923,2060
P186,Крутая волна,Стерин Вячеслав,1961,2078
P32,Юшка,Платонов Андрей Платонович,1935,2306
P95,Северное сияние,Линьков Лев Александрович ,1954,2341
111,На одной из крыш,Кетлинская Вера Казимировна,1942,2533
P82,Ночной разговор,Сейфуллина Лидия Николаевна,1946,2788
232,Дорога к счастью,Тагер Елена Михайловна,1932,2817
Р359,Сюжет,Толстая Татьяна,1991,3084
P215,Три женщины в осеннем саду,Стрелкова Ирина Ивановна ,1976,3192
P202,Стрела летящая,Скалон Андрей Васильевич ,1973,6801
S775,Двойная итальянская,Камчадал М.,1926,823
S331,Под гнётом нужды,Харитонов Николай,1905,1165
S133,Курсистка,Знойко Л.,1918,1229
267,Валенки,Яковлев Юрий,1970,1384
S357,Третий пациент,Зеленый А.,1908,1459
Р609,Свадьба,Мурзиди Константин Гаврилович,1951,1591
194,Белый яд,Пильский Петр Мосеевич,1931,1655
S163,Ночь в ростре,Моравская Мария Людвиговна,1916,1889
A11,Что можно в земле выкопать,Туманова Зоя Александровна,1981,2048
S606,Весенние сумерки,Лопатина Екатерина Михайловна (Ельцова К),1903,2106
P208,Грибы поздней осени,Горышин Глеб Александрович ,1980,2288
P18,Странный характер,Василевский Виталий Сергеевич,1944,2347
1,В Питер за сарафаном,Абрамов Фёдор Александрович,1961,2482
P265,Валентиново зимовье,Баженов Георгий Викторович,1978,2546
P5,Рисунок с Ленина,Федин Константин Александрович,1939,2739
S320,Ночью,Уманец Екатерина Иосифовна,1902,2826
P130,Пыль и ветер,Давыдова Наталья ,1957,3039
S137,Мои бессоницы,Измайлов Александр Алексеевич,1915,3224
Р455,Черти на трассе (Уроки русского),Шепелёв Алексей А.,1993,6416
P146,Короткие волны,Рекемчук Александр Евсеевич,1957,1045
Р414,Машина счастья,Овсянникова Людмила ,1984,524
S005,Занятые люди,Ауслендер Сергей Абрамович,1912,1193
P288,Бабичев,Бакланов Григорий Яковлевич ,1982,1196
S426,Дымчатая кошка,Максимов М.,1914,1425
64,Дама в розовом,Гребенщиков Георгий Дмитриевич,1964,1426
S115,Под лучами красоты,Власов-Окский Николай Степанович,1920,1627
S699,Русский квартирант,Горбачёва Софья,1916,1628
107,Задушевный разговор,Касаткин Иван Михайлович,1937,1844
P108,Дуэль,Атаров Николай Сергеевич,1943,1844
195,Первые ландыши,Фесенко Андрей,1960,2071
160,Гость,Максимов Владимир,1965,2072
S535,Револьвер,Авсеенко Василий Григорьевич,1911,2311
140,Московской ночью,Лапин Константин Кириллович,1940,2337
P114,Полет валькирий,Никулин Лев Вениаминович,1933,2520
Р315,Невеста,Юфит Матильда Иосифовна,1938,2528
32,Любовь,"Братья Тур (Тубельский Леонид, Рыжей Петр)",1942,2795
S183,Соболья муфта,Селиванов Аркадий Александрович,1917,2808
S102,Телеграфистка,Ашешов Николай Петрович,1914,3178
163,На высоте 565,Малышкин Александр Георгиевич,1931,7643
250,Кому за махоркой идти,Черный Саша,1932,1534
Р401,Красный бакен,Романовский Станислав Тимофеевич ,1974,1070
S503,Большевик,Тихомиров Никифор Семенович,1920,1311
S088,Юбилей,Лохвицкая Надежда Александровна (Тэффи),1912,1335
Р527,Вставная новелла,Шаламов Варлам Тихонович ,1994,1493
S457,В пользу раненых,Павлинский М.,1915,1530
191,Осенняя заря,Павленко Петр Андреевич,1947,1718
S385,Скрипка,Татищев Леонид Леонидович,1909,1765
S284,Елочка,Пришелец Антон,1924,1984
P135,На берегу,Пикуль Валентин ,1950,2000
S736,"Приключение Казановы, не рассказанное им самим",Муратов Павел Павлович,1922,2169
P85,Рекорды и урожай,Овечкин Валентин,1948,2381
P194,В медоносном краю,Лидин Владимир Германович,1974,2393
P88,В последний час,Бек Александр Альфредович,1952,2620
P249,Лунный свет,Нагибин Юрий Маркович,1979,2648
240,Вечером,Тэсс Татьяна,1948,2855
Р382,Плотник и его жена,Насущенко Владимир Егорович,1997,2897
Р303,Свидания по утрам,Белов Василий Иванович,1977,3884
P274,Лесенка в небо,Королёв Анатолий Иванович ,1981,4180
Р316,Актриса,Алексин Анатолий Георгиевич,1975,1451
Р421,Отпуск,Малахов Олег Сергеевич,2000,2510
S416,Подкликал!,Матвеев Николай Петрович (Матвеев-Амурский),1913,1025
P266,Поединок,Баженов Георгий Викторович,1986,1131
S032,Осенний луч,Гордин Владимир Николаевич,1910,1246
S497,Правду узнал,Туркин Евгений Васильевич,1919,1367
Р305,Как жаль,Солженицын Александр Исаевич,1978,1472
S417,Цветы,Незванова А.,1913,1564
S599,На Москве,Крыжановская Вера Ивановна,1906,1681
S495,Малые маяки,Иванова Анна Павловна (Веснина Анна),1919,1799
Р399,Брюссель,Бурмистров Тарас,1997,1915
S166,Пахомовка,Низовой Павел Георгиевич,1921,2021
Р584,Третий поворот налево,Довлатов Сергей Донатович,1995,2148
P171,Первый бал,Котенко Илья,1954,2231
S292,Пугающая психология,Сибиряков Николай,1924,2372
S580,Триумф художника,Златовратский Николай Николаевич,1911,2448
S747,Свободная Профессия,Асеев Николай Николаевич,1925,2569
S678,Любовь,Чехов Михаил Павлович,1906,2672
